State,NextState,Accept,Return,Error,Stack,M
2120,2121,1,0,1,0,<=
2121,220,0,0,1,1,! true false id int (
2122,210,0,0,1,0,) ; < > <= >= == !=
2130,2131,1,0,1,0,>=
2131,220,0,0,1,1,! true false id int (
2132,210,0,0,1,0,) ; < > <= >= == !=
2140,2141,1,0,1,0,==
2141,220,0,0,1,1,! true false id int (
2142,210,0,0,1,0,) ; < > <= >= == !=
2150,2151,1,0,1,0,!=
2151,220,0,0,1,1,! true false id int (
2152,210,0,0,1,0,) ; < > <= >= == !=
2160,,0,1,1,0,) ;
2200,240,0,0,1,1,! true false id int (
2201,230,0,0,1,0,) ; < > <= >= == != + -
2300,2301,1,0,1,0,+
2301,240,0,0,1,1,! true false id int (
2302,230,0,0,1,0,) ; < > <= >= == != + -
2310,2311,1,0,1,0,-
2311,240,0,0,1,1,! true false id int (
2312,230,0,0,1,0,) ; < > <= >= == != + -
2320,,0,1,1,0,) ; < > <= >= == !=
2400,260,0,0,1,1,! true false id int (
2401,250,0,0,1,0,) ; < > <= >= == != + - * /
2500,2501,1,0,1,0,*
2501,260,0,0,1,1,! true false id int (
2502,250,0,0,1,0,) ; < > <= >= == != + - * /
2510,2511,1,0,1,0,/
2511,260,0,0,1,1,! true false id int (
2512,250,0,0,1,0,) ; < > <= >= == != + - * /
2520,,0,1,1,0,) ; < > <= >= == != + -
2600,280,0,0,1,1,! true false id int (
2601,270,0,0,1,0,) ; < > <= >= == != + - * / && ||
2700,2701,1,0,1,0,&&
2701,280,0,0,1,1,! true false id int (
2702,270,0,0,1,0,) ; < > <= >= == != + - * / && ||
2710,2711,1,0,1,0,||
2711,280,0,0,1,1,! true false id int (
2712,270,0,0,1,0,) ; < > <= >= == != + - * / && ||
2720,,0,1,1,0,) ; < > <= >= == != + - * /
2800,2801,1,0,1,0,!
2801,280,0,0,1,0,! true false id int (
2810,,1,1,1,0,true
2820,,1,1,1,0,false
2830,2831,1,0,1,0,id
2831,290,0,0,1,0,( ) ; < > <= >= == != + - * / && ||
2840,,1,1,1,0,int
2850,2851,1,0,1,0,(
2851,200,0,0,1,1,! true false id int (
2852,,1,1,1,0,)
2900,2901,1,0,1,0,(
2901,300,0,0,1,1,Int )
2902,,1,1,1,0,)
2910,,0,1,1,0,) ; < > <= >= == != + - * / && ||
3000,3001,1,0,1,0,Int
3001,310,0,0,1,0,","
3010,,0,1,1,0,)
3100,3101,1,0,1,0,","
3101,3102,1,0,1,0,int
3102,310,0,0,1,0,","
